Cycle_Index,Step_Index,Test_Time_s,Current_A,Voltage_V,Temperature_C
0,2,116.05,0.2558938,4.199893,11.7872
0,2,117.05,0.2539101,4.199893,11.7872
0,2,118.05,0.2542153,4.200198,11.7872
0,2,119.05,0.2526894,4.199893,11.7872
0,2,120.05,0.2519265,4.200046,11.7872
0,2,121.05,0.2523842,4.200046,11.80423
0,2,122.05,0.2516213,4.200198,11.80423
0,2,123.05,0.2500954,4.199893,11.80423
0,2,124.05,0.2497902,4.200046,11.80423
0,2,125.05,0.2488746,4.200046,11.80423
0,2,126.05,0.2482643,4.200046,11.80423
0,2,127.05,0.2467384,4.200046,11.80423
0,2,128.05,0.2475013,4.200046,11.7872
0,2,129.05,0.2465858,4.199893,11.80423
0,2,130.05,0.2459754,4.200198,11.7872
0,2,131.05,0.2442969,4.200046,11.7872
0,2,132.05,0.2446021,4.200046,11.80423
0,2,133.05,0.2438392,4.200198,11.7872
0,2,134.05,0.2432288,4.200046,11.80423
0,2,135.05,0.2429236,4.200046,11.80423
0,2,136.05,0.2421607,4.200046,11.80423
0,2,137.05,0.2412451,4.200046,11.80423
0,2,138.05,0.2404822,4.200046,11.80423
0,2,139.05,0.2410925,4.200198,11.80423
0,2,140.05,0.2400244,4.200046,11.80423
0,2,141.05,0.2388037,4.200198,11.82125
0,2,142.05,0.2388037,4.200046,11.82125
0,2,143.05,0.2383459,4.199893,11.82125
0,2,144.05,0.2369726,4.199893,11.82125
0,2,145.05,0.2366674,4.200046,11.82125
0,2,146.05,0.2360571,4.200046,11.82125
0,2,147.05,0.2349889,4.200046,11.82125
0,2,148.05,0.2343786,4.199893,11.82125
0,2,149.05,0.2349889,4.200046,11.82125
0,2,150.05,0.233463,4.199893,11.82125
0,2,151.05,0.2333104,4.200046,11.82125
0,2,152.05,0.2333104,4.200046,11.82125
0,2,153.05,0.2319371,4.199893,11.82125
0,2,154.05,0.2313268,4.199893,11.82125
0,2,155.05,0.2310216,4.199893,11.82125
0,2,156.05,0.2299535,4.200046,11.82125
0,2,157.05,0.2288853,4.200046,11.82125
0,2,158.05,0.2298009,4.199893,11.82125
0,2,159.05,0.228275,4.199893,11.82125
0,2,160.05,0.2272068,4.199893,11.82125
0,2,161.05,0.2278172,4.200046,11.82125
0,2,162.05,0.2267491,4.199893,11.82125
0,2,163.05,0.2256809,4.200046,11.82125
0,2,164.05,0.2261387,4.199893,11.82125
0,2,165.05,0.2246128,4.19974,11.82125
0,2,166.05,0.2247654,4.200046,11.82125
0,2,167.05,0.224155,4.199893,11.82125
0,2,168.05,0.2233921,4.200198,11.82125
0,2,169.05,0.2221714,4.199893,11.82125
0,2,170.05,0.2229343,4.200046,11.83828
0,2,171.05,0.2220188,4.200046,11.83828
0,2,172.05,0.220798,4.200046,11.83828
0,2,173.05,0.2209506,4.199893,11.83828
0,2,174.05,0.2206455,4.200046,11.83828
0,2,175.05,0.2204929,4.200046,11.83828
0,2,176.05,0.2192722,4.199893,11.83828
0,2,177.05,0.2194247,4.199893,11.83828
0,2,178.05,0.218967,4.200046,11.83828
0,2,179.05,0.2183566,4.200046,11.83828
0,2,180.05,0.2168307,4.199893,11.83828
0,2,181.05,0.2172885,4.200046,11.83828
0,2,182.05,0.2166781,4.200046,11.83828
0,2,183.05,0.2162203,4.200046,11.83828
0,2,184.05,0.2153048,4.199893,11.83828
0,2,185.05,0.2149996,4.199893,11.85531
0,2,186.05,0.2134737,4.199893,11.85531
